#This file is separated into three sections, each titled starting with a "#".
#The first are general spelling variants that need to be altered in CCH to match the eFlora variants
#Others are names that will likely be adopted by the eFlora in the future because the accepted spelling is not official
#according to the international code.
#The second section are name variant with and without hypens. Many compound names with hypens are no longer accepted by the international code.
#The last section are names where the suffix has changed due to a change in the recognition of a genus name gender (for example Nama demissum ==> Nama demissa)

#Format: orthographic variant[tab]accepted name[tab]where orthographic used (optional if known)
#nothospecies variants
Eriogonum pyrolaefolium subsp. pyrolaefolium	Eriogonum pyrolifolium subsp. pyrolaefolium
Eriogonum pyrolaefolium subsp. pyrolaefolium	Eriogonum pyrolifolium subsp. pyrolifolium
Eriogonum pyrolaefolium var. bellingeranum	Eriogonum pyrolifolium var. bellingeranum
Eriogonum pyrolaefolium var. coryphaeum	Eriogonum pyrolifolium var. coryphaeum
Eriogonum pyrolaefolium var. pyrolaefolium	Eriogonum pyrolifolium var. pyrolaefolium
Eriogonum pyrolaefolium var. pyrolaefolium	Eriogonum pyrolifolium var. pyrolifolium
Eriogonum stellatum var. bahiaeforme	Eriogonum stellatum var. bahiiforme
Eriogonum umbellatum subsp. bahiaeforme	Eriogonum umbellatum subsp. bahiiforme
Eriogonum umbellatum var. bahiaeforme	Eriogonum umbellatum var. bahiiforme
Eriophyllum lanatum var. achillaeoides	Eriophyllum lanatum var. achilleoides	JM
Eriophyllum lanatum var. achillioides	Eriophyllum lanatum var. achilleoides	JM
Eriophyllum staechadifolium var. artmisiaefolium	Eriophyllum staechadifolium var. artemisiifolium	TROPICOS
Eriophyllum stoechadifolium	Eriophyllum staechadifolium	SMASCH
Eriophyllum stoechadifolium var. artemisiaefolium	Eriophyllum staechadifolium var. artemisiifolium	TROPICOS
Eriophyllum stoechadifolium var. artemisiifolium	Eriophyllum staechadifolium var. artemisiifolium	TROPICOS
Eriophyllum stoechadifolium var. depressum	Eriophyllum staechadifolium var. depressum	TROPICOS
Eriophyllum stoechadifolium var. stoechadifolium	Eriophyllum staechadifolium var. staechadifolium	TROPICOS
Eryngium alismaefolium	Eryngium alismifolium
Erythronium multiscapoidea	Erythronium multiscapideum	TROPICOS
Erythronium multiscapoideum	Erythronium multiscapideum	TROPICOS
Eschscholtzia asprella	Eschscholzia asprella
Eschscholtzia caespitosa	Eschscholzia caespitosa
Eschscholtzia caespitosa var. caespitosa	Eschscholzia caespitosa var. caespitosa
Eschscholtzia caespitosa var. hypecoides	Eschscholzia caespitosa var. hypecoides
Eschscholtzia californica	Eschscholzia californica
Eschscholtzia californica subsp. californica	Eschscholzia californica subsp. californica
Eschscholtzia californica var. californica	Eschscholzia californica var. californica
Eschscholtzia californica var. peninsularis	Eschscholzia californica var. peninsularis
Eschscholtzia elegans	Eschscholzia elegans
Eschscholtzia formosa	Eschscholzia formosa
Eschscholtzia glyptosperma	Eschscholzia glyptosperma
Eschscholtzia lemmoni subsp. kernensis	Eschscholzia lemmonii subsp. kernensis
Eschscholtzia lemmoni subsp. lemmoni	Eschscholzia lemmonii subsp. lemmonii
Eschscholtzia lemmoni var. asprella	Eschscholzia lemmonii var. asprella
Eschscholtzia lemmoni var. cuspidata	Eschscholzia lemmonii var. cuspidata
Eschscholtzia lemmoni var. laxa	Eschscholzia lemmonii var. laxa
Eschscholtzia lemmoni var. lemmoni	Eschscholzia lemmonii var. lemmonii
Eschscholtzia lemmonii subsp. kernensis	Eschscholzia lemmonii subsp. kernensis
Eschscholtzia lemmonii subsp. lemmonii	Eschscholzia lemmonii subsp. lemmonii
Eschscholtzia lemmonii var. asprella	Eschscholzia lemmonii var. asprella
Eschscholtzia lemmonii var. cuspidata	Eschscholzia lemmonii var. cuspidata
Eschscholtzia lemmonii var. laxa	Eschscholzia lemmonii var. laxa
Eschscholtzia lemmonii var. lemmonii	Eschscholzia lemmonii var. lemmonii
Eschscholtzia minutiflora	Eschscholzia minutiflora
Eschscholtzia minutiflora var. minutiflora	Eschscholzia minutiflora var. minutiflora
Eschscholtzia minutiflora var. parishii	Eschscholzia minutiflora var. parishii
Eschscholtzia picta	Eschscholzia picta
Eschscholtzia straminea	Eschscholzia straminea
Eupatorium urticaefolium	Eupatorium urticifolium	TROPICOS
Euphorbia serpyllifolia	Euphorbia serpillifolia	
Euphorbia serpyllifolia var. hirtula	Euphorbia serpillifolia var. hirtula	
Euphorbia serpyllifolia var. serpyllifolia	Euphorbia serpillifolia var. serpillifolia	
Euphorbia serpyllifolia subsp. hirtella	Euphorbia serpillifolia subsp. hirtula	ITIS and CCH mispelling
Euphorbia serpyllifolia var. hirtella	Euphorbia serpillifolia var. hirtula	ITIS and CCH mispelling
Euphorbia serpillifolia subsp. hirtella	Euphorbia serpillifolia subsp. hirtula	ITIS and CCH mispelling
Euphorbia serpillifolia var. hirtella	Euphorbia serpillifolia var. hirtula	ITIS and CCH mispelling
Evodia danielli	Euodia daniellii
Evodia daniellii	Euodia daniellii
Gaertnera chamissonis	Gaertneria chamissonis
Gilia achilleaefolia	Gilia achilleifolia
Gilia achilleaefolia subsp. achilleaefolia	Gilia achilleifolia subsp. achilleifolia
Gilia achilleaefolia subsp. multicaulis	Gilia achilleifolia subsp. multicaulis
Gilia achilleaefolia var. achilleaefolia	Gilia achilleifolia var. achilleifolia
Gilia achilleaefolia var. tomentosa	Gilia achilleifolia var. tomentosa
Gilia achilliifolia	Gilia achilleifolia
Gilia capitata var. achilleaefolia	Gilia capitata var. achilleifolia
Giliastrum rigidula	Giliastrum rigidulum
Giliastrum rigidula subsp. rigidula	Giliastrum rigidulum subsp. rigidulum
Heleocharis geniculata	Eleocharis geniculata
Heleocharis montevidensis	Eleocharis montevidensis
Heleocharis montevidensis var. bolanderi	Eleocharis bolanderi
Heleocharis montevidensis var. parishii	Eleocharis parishii
Heleocharis obtusa	Eleocharis obtusa
Heleocharis pachycarpa	Eleocharis pachycarpa
Heleocharis palustris	Eleocharis palustris
Heleocharis parvula	Eleocharis parvula
Heleocharis quadrangulata	Eleocharis quadrangulata
Heleocharis rostellata	Eleocharis rostellata
Hemizonia congesta subsp. luzulaefolia	Hemizonia congesta subsp. luzulifolia	TROPICOS
Hemizonia congesta var. luzulaefolia	Hemizonia congesta var. luzulifolia	TROPICOS
Hesperis longepedicellata	Hesperis longipedicellata
Hesperocyparis pygmaea	Hesperocyparis pigmaea
Heteranthemis viscidehirta	Heteranthemis viscidihirta	TROPICOS spells this with a "e", ICPN with and "i", going with ICPN
Heterocodon rariflorus	Heterocodon rariflorum	ICPN has not converted to this variant
Heuchera cespitosa	Heuchera caespitosa
Hipericum	Hypericum
Hordeum jubatum var. cespitosum	Hordeum jubatum var. caespitosum
Hypochoeris glabra	Hypochaeris glabra
Hypochoeris radicata	Hypochaeris radicata
Jepsonia malvaefolia	Jepsonia malvifolia
Juncus leseurii	Juncus lescurii
Juncus leseurii var. elatus	Juncus lescurii var. elatus
Juncus leseurii var. leseurii	Juncus lescurii var. lescurii	JM
Juncus leseurii var. stenocaulon	Juncus lescurii var. stenocaulon
Juncus leseurii var. tracyi	Juncus lescurii var. tracyi	JM
Juncus lesueurii	Juncus lescurii
Juncus lesueurii var. elatus	Juncus lescurii var. elatus
Juncus lesueurii var. lesueurii	Juncus lescurii var. lescurii	JM
Juncus lesueurii var. stenocaulon	Juncus lescurii var. stenocaulon
Juncus lesueurii var. tracyi	Juncus lescurii var. tracyi	JM
Justicia brandegeana	Justicia brandegeeana
Kicksia elatine	Kickxia elatine
Kicksia spuria	Kickxia spuria
Lewisia leana	Lewisia leeana	JM
Lithrea molleoides	Lithraea molleoides
Lupinus holmgrenanus	Lupinus holmgrenianus	CP
Lupinus littoralis var. varicolor	Lupinus littoralis var. variicolor
Lupinus varicolor	Lupinus variicolor	SMASCH
Lyonothamnus asplenifolius	Lyonothamnus aspleniifolius
Macrocarphus achilleaefolia	Macrocarphus achilleifolia
Martynia altheaefolia	Martynia altheifolia
Monotropa hypopithys	Monotropa hypopitys	JM
Monotropa hypopithys subsp. hypopithys	Monotropa hypopitys subsp. hypopitys	JM
Monotropa hypopithys subsp. lanuginosa	Monotropa hypopitys subsp. lanuginosa	JM
Monotropa hypopithys var. americana	Monotropa hypopitys var. americana	JM
Monotropa hypopithys var. hypopithys	Monotropa hypopitys var. hypopitys	JM
