
#old file list pre-2018 CCH1 alter names
#Sidalcea malviflora var. sparsifolia	Sidalcea malviflora subsp. sparsifolia	NO VAR COMB for sparsifolia; TROPICOS; ICPN indicates this var. is published, leave in but comment out now
Arabis macdonaldiana	Arabis mcdonaldiana
Arabis pulcra var. gracilis	Arabis pulchra var. gracilis
Arabis puperula	Arabis paupercula
Arabis puslchra var. gracilis	Arabis pulchra var. gracilis
Arabis sparsiflora ()	Arabis sparsiflora
Arabis subpinnaifida	Arabis subpinnatifida
Arabis x divaricarpa	Arabis divaricarpa
Arabis xdivaricarpa	Arabis divaricarpa
Araujia sericofera	Araujia sericifera
Arbutus menzeiesii	Arbutus menziesii
Arceuthobium abietinum subsp. siensii	Arceuthobium abietinum subsp. wiensii
Arceuthobium campylopdoum	Arceuthobium campylopodum
Arceuthobium campylopodum f. tsugensis	Arceuthobium campylopodum f. tsugense
Arceuthobium campylopodum forma abietinum	Arceuthobium campylopodum f. abietinum
Arceuthobium camylopodium	Arceuthobium campylopodum
Arceuthobium juniperinum	Arceuthobium juniperi
Archtostaphylos glauca	Arctostaphylos glauca
Arctoheca calendula	Arctotheca calendula
Arctostahylos	Arctostaphylos
Arctostaphylos cancescens	Arctostaphylos canescens
Arctostaphylos cancescens var. malloryi	Arctostaphylos canescens subsp. malloryi	NO VAR COMB FOR malloryi; TROPICOS
Arctostaphylos cancescens var. sonomensis	Arctostaphylos canescens var. sonomensis
Arctostaphylos catilinae	Arctostaphylos catalinae
Arctostaphylos cinera	Arctostaphylos cinerea
Arctostaphylos crustacea subsp. crustaceae	Arctostaphylos crustacea subsp. crustacea
Arctostaphylos edmundsi	Arctostaphylos edmundsii
Arctostaphylos gladulosa	Arctostaphylos glandulosa
Arctostaphylos glandulosa f. glacoides	Arctostaphylos glandulosa f. glaucoides
Arctostaphylos glandulosa subsp. cushingiana (eastwood) keeley vasey &amp; parker	Arctostaphylos glandulosa subsp. cushingiana
Arctostaphylos glandulosa subsp. cushingiana (eastwood) keeley, vasey & parker	Arctostaphylos glandulosa subsp. cushingiana
Arctostaphylos glandulosa subsp. glanduosa	Arctostaphylos glandulosa subsp. glandulosa
Arctostaphylos glandulosa subsp.cushingiana	Arctostaphylos glandulosa subsp. cushingiana
